event_id,title,crime_type,crime_type_zh,city,state,lat,lng,source_media,news_url,pub_time,pub_ts,city_method,llm_verified,llm_score,llm_state,llm_city,llm_neighbor,llm_type,etl_dt
inc_1408,"Motorista de aplicativo morto na Zona Norte do Rio deixa filha de 5 anos: 'Família dilacerada', lamenta primo",homicidio,凶杀,Rio de Janeiro,RJ,-22.912979,-43.171308,G1 Rio de Janeiro,https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/06/17/despedida-motorista-app-morto-na-zona-norte-do-rio.ghtml,2026-06-17T22:54:59+00:00,1781736899,url,,,,,,,20260622
inc_1409,Pesquisa aponta que cuidados com a casa e a família impactam emprego de mulheres no AC: 'Cobrada desde cedo',homicidio,凶杀,Rio Branco,AC,-9.981474,-67.840375,G1 Acre,https://g1.globo.com/ac/acre/noticia/2026/06/17/pesquisa-aponta-que-cuidados-com-a-casa-e-a-familia-impacta-emprego-de-mulheres-no-ac-cobrada-desde-cedo.ghtml,2026-06-17T22:52:53+00:00,1781736773,default,,,,,,,20260622
inc_1410,Caminhoneiro paga fiança e é liberado após acidente que matou 6 pessoas na BR-010 no Pará,homicidio,凶杀,Belém,PA,-1.461928,-48.469897,G1 Pará,https://g1.globo.com/pa/para/noticia/2026/06/17/caminhoneiro-paga-fianca-e-e-liberado-apos-acidente-que-matou-6-pessoas-na-br-010-no-para.ghtml,2026-06-17T22:50:29+00:00,1781736629,default,,,,,,,20260622
inc_1411,Trio é preso e máquinas caça-níqueis  são apreendidas durante operação contra jogos de azar em Cerquilho,trafico,贩毒,Itapetininga,SP,-23.589968,-48.033437,G1 Itapetininga,https://g1.globo.com/sp/itapetininga-regiao/noticia/2026/06/17/trio-e-preso-e-maquinas-caca-niqueis-sao-apreendidas-durante-operacao-contra-jogos-de-azar-em-cerquilho.ghtml,2026-06-17T22:49:02+00:00,1781736542,default,,,,,,,20260622
inc_1412,Jair Bolsonaro diz ao STF que não está proibido de manter arma em casa,policia,警方,São Luís,MA,-2.521887,-44.290629,Imirante MA,https://imirante.com/noticias/brasil/2026/06/17/ipolitica-jair-bolsonaro-diz-ao-stf-que-nao-esta-proibido-de-manter-arma-em-casa,2026-06-17T19:49:00-03:00,1781736540,default,,,,,,,20260622
inc_1413,"'Cascata de nuvens': entenda o fenômeno que cobriu a Serra do Curral, em BH",fraude,诈骗,Belo Horizonte,MG,-19.925541,-43.933517,G1 Minas Gerais,https://g1.globo.com/mg/minas-gerais/noticia/2026/06/17/cascata-de-nuvens-entenda-o-fenomeno-que-cobriu-a-serra-do-curral-em-bh.ghtml,2026-06-17T22:47:52+00:00,1781736472,default,,,,,,,20260622
inc_1414,Policial militar morre após ser baleado durante assalto enquanto pedalava na Zona Leste de SP,homicidio,凶杀,São Paulo,SP,-23.566884,-46.657375,G1 São Paulo,https://g1.globo.com/sp/sao-paulo/noticia/2026/06/17/policial-militar-morre-apos-ser-baleado-durante-assalto-enquanto-pedalava-na-zona-leste-de-sp.ghtml,2026-06-17T22:47:02+00:00,1781736422,default,,,,,,,20260622
inc_1415,Policial militar morre após ser baleado durante assalto enquanto pedalava na Zona Leste de SP - G1,homicidio,凶杀,São Paulo,SP,-23.567988,-46.645517,GNews São Paulo #1,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQODNUWldwclo3VHc3Zzg5SHlldXdrX05ITF9hTDBibWM0cU1DTFZXRGltWkR0bEkzNndESGtsOXl2Q215OF9jUkNLMm9pNldSOGw0eV85cEtkRGd2MXBCbkpzQ0JXVk5DZUZWQ2NCbU9LQ1ZpbENGUkV5Ul9keEh4Y0xfcW5oZi1ySVpjLUtUSHpMeHl1Rnprcmw3eUowVUVMUkpGUlVLY2VYYTI4VzlORTJHYmFqaVBhVU1kcExDRFE4NjliZENvVVc1cFI0ejJma1Q5c1gwelM3dU9sT2dNQmE1TzhLQ1HSAfYBQVVfeXFMUFZMZG5zUkMteksxNDI1eEs0VjR2cGJmVkF0TWNVSWpad1Z0TlpRY0lIOGlDLU1QQjFQZ0d6dHZocnNIa2IwV3V3WUJ3bDhaeWIyZjljekxCcEhjZUJuaVlQRVZvTUFoQXBLRzdKYWRIQjBDVWs2cFpEVFc4WGtKV3pfT1d3UXg5UDF3VFZvQm96dFk4bExRZHh0TnBHOGhoRWVuM0E0bkxHdGhMaXZ1MkgxcUd1TGxvSHVrYzBnMTIwQWx1SmlXdkpXYXlqYnJ2bzZtOG4teF9BRHBaY1ZrOE42YWJ6TUl1WnplT2oyTGtzbXlrT2J3?oc=5,2026-06-17T22:47:02+00:00,1781736422,default,,,,,,,20260622
inc_1416,"Mulher morre após ser atropelada por moto na Avenida Epitácio Pessoa, em João Pessoa",homicidio,凶杀,João Pessoa,PB,-7.112714,-34.82077,G1 Paraíba,https://g1.globo.com/pb/paraiba/noticia/2026/06/17/mulher-morre-atropelada-por-uma-moto-na-avenida-epitacio-pessoa-em-joao-pessoa.ghtml,2026-06-17T22:46:27+00:00,1781736387,title,,,,,,,20260622
inc_1417,Nova ocupação em área reivindicada por indígenas mobiliza forças de segurança em Amambai,furto,盗窃,Campo Grande,MS,-20.436129,-54.630963,G1 Mato Grosso do Sul,https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2026/06/17/nova-retomada-em-area-reivindicada-por-indigenas-mobiliza-forcas-de-seguranca-em-amambai.ghtml,2026-06-17T22:42:26+00:00,1781736146,default,,,,,,,20260622
